Tarih,MGM_Gerçek,AgroFrost_Tahmin,Durum
24-01-2020,-5.0°C,-7.0°C,✅ DOĞRULANDI
25-01-2020,-8.9°C,-8.5°C,✅ DOĞRULANDI
26-01-2020,-6.6°C,-7.6°C,✅ DOĞRULANDI
27-01-2020,-3.9°C,-5.9°C,✅ DOĞRULANDI
29-01-2020,-1.4°C,-3.1°C,✅ DOĞRULANDI
31-01-2020,-2.0°C,-1.6°C,✅ DOĞRULANDI
01-02-2020,-4.4°C,-6.5°C,✅ DOĞRULANDI
02-02-2020,-3.6°C,-5.9°C,✅ DOĞRULANDI
03-02-2020,-3.5°C,-3.2°C,✅ DOĞRULANDI
07-02-2020,-3.0°C,-2.1°C,✅ DOĞRULANDI
08-02-2020,-8.0°C,-6.9°C,✅ DOĞRULANDI
09-02-2020,-10.5°C,-10.9°C,✅ DOĞRULANDI
10-02-2020,-10.0°C,-11.5°C,✅ DOĞRULANDI
11-02-2020,-9.0°C,-9.8°C,✅ DOĞRULANDI
14-02-2020,-3.6°C,-3.8°C,✅ DOĞRULANDI
18-02-2020,-3.9°C,-3.4°C,✅ DOĞRULANDI
19-02-2020,-3.6°C,-4.3°C,✅ DOĞRULANDI
20-02-2020,-3.5°C,-3.2°C,✅ DOĞRULANDI
27-02-2020,-0.2°C,-2.1°C,✅ DOĞRULANDI
02-03-2020,-2.0°C,-2.1°C,✅ DOĞRULANDI
03-03-2020,-0.4°C,-1.2°C,✅ DOĞRULANDI
07-03-2020,-0.6°C,-1.2°C,✅ DOĞRULANDI
17-03-2020,-4.2°C,-4.2°C,✅ DOĞRULANDI
18-03-2020,-7.2°C,-8.9°C,✅ DOĞRULANDI
22-03-2020,-3.4°C,-1.6°C,✅ DOĞRULANDI
23-03-2020,-0.9°C,-1.3°C,✅ DOĞRULANDI
17-11-2020,-1.0°C,-0.5°C,✅ DOĞRULANDI
18-11-2020,-1.1°C,-1.0°C,✅ DOĞRULANDI
